iter	MultiClass
0	1.579562836
1	1.555179089
2	1.532815883
3	1.514039423
4	1.498126318
5	1.483452765
6	1.472119119
7	1.460205359
8	1.448221803
9	1.438954815
10	1.430299792
11	1.42207376
12	1.414062776
13	1.407749647
14	1.401254382
15	1.394762539
16	1.388091348
17	1.382567111
18	1.377845791
19	1.372648866
20	1.368697678
21	1.362808762
22	1.357963366
23	1.353283042
24	1.349698197
25	1.345301536
26	1.341540232
27	1.337500993
28	1.333649863
29	1.330538971
30	1.327086941
31	1.323338114
32	1.319447923
33	1.316666736
34	1.31349133
35	1.31018823
36	1.306865407
37	1.303711351
38	1.300759798
39	1.297639732
40	1.295100154
41	1.292234815
42	1.290163916
43	1.287460293
44	1.284659027
45	1.282252081
46	1.280056187
47	1.277108547
48	1.275122669
49	1.272669792
50	1.270337593
51	1.26856846
52	1.266473012
53	1.264486157
54	1.261932547
55	1.259421116
56	1.257679587
57	1.255706183
58	1.253432803
59	1.251658222
60	1.249850169
61	1.247916036
62	1.245253634
63	1.24313781
64	1.240851805
65	1.23898397
66	1.237295641
67	1.235721751
68	1.233739898
69	1.231244321
70	1.229732396
71	1.227749397
72	1.226123499
73	1.224349379
74	1.222481704
75	1.220172672
76	1.218598409
77	1.216803156
78	1.214886782
79	1.213432287
80	1.211757355
81	1.210334808
82	1.208624839
83	1.207396652
84	1.205918186
85	1.204050089
86	1.202616648
87	1.201319981
88	1.199896542
89	1.198133558
90	1.19698416
91	1.195896011
92	1.194181202
93	1.192906896
94	1.19162171
95	1.190234376
96	1.188779349
97	1.187080405
98	1.185656641
99	1.18410682
100	1.182350358
101	1.180649217
102	1.17957363
103	1.178307967
104	1.176766607
105	1.175310479
106	1.174184118
107	1.172920894
108	1.171792646
109	1.170808876
110	1.169347366
111	1.167749619
112	1.166479046
113	1.165454522
114	1.164253799
115	1.16276921
116	1.161383964
117	1.16037932
118	1.159233366
119	1.158271569
120	1.15722249
121	1.156262984
122	1.155218746
123	1.153916465
124	1.152969752
125	1.151777764
126	1.150660039
127	1.149287057
128	1.148269101
129	1.147196422
130	1.145632411
131	1.144396221
132	1.143011292
133	1.141721439
134	1.140475332
135	1.139185177
136	1.137901346
137	1.136735694
138	1.135568044
139	1.13442808
140	1.133226651
141	1.132455437
142	1.13165686
143	1.130577547
144	1.129246732
145	1.12822815
146	1.12730337
147	1.126252104
148	1.12489151
149	1.124012339
150	1.12258993
151	1.121559092
152	1.120457488
153	1.119551607
154	1.118700085
155	1.117450032
156	1.11640783
157	1.115375309
158	1.114298306
159	1.11352949
160	1.112452205
161	1.111644474
162	1.110585352
163	1.109824273
164	1.10905826
165	1.108183749
166	1.107246499
167	1.106309724
168	1.105357838
169	1.104402636
170	1.103414762
171	1.102631031
172	1.101461934
173	1.100521818
174	1.099648866
175	1.09894621
176	1.098040649
177	1.097092829
178	1.096233598
179	1.095081367
180	1.094174531
181	1.093235933
182	1.092318563
183	1.09154743
184	1.090801217
185	1.090015744
186	1.089336441
187	1.088693331
188	1.087881049
189	1.087090601
190	1.08612907
191	1.085333045
192	1.084694751
193	1.083795118
194	1.08297046
195	1.082009274
196	1.081169061
197	1.080314753
198	1.079763079
199	1.079112005
200	1.078486407
201	1.077756529
202	1.077053022
203	1.076279803
204	1.075656008
205	1.075055268
206	1.074461805
207	1.073705254
208	1.072811712
209	1.072219925
210	1.071541927
211	1.070690311
212	1.070090993
213	1.069258061
214	1.068646051
215	1.068019351
216	1.067451379
217	1.066781731
218	1.066236546
219	1.065537098
220	1.064948528
221	1.064421667
222	1.063921156
223	1.063098669
224	1.062630597
225	1.06196438
226	1.061350868
227	1.060734329
