iter	Passed	Remaining
0	1063	318019
1	1721	256526
2	2406	238204
3	3097	229223
4	3777	222892
5	4510	220993
6	5203	217817
7	5896	215222
8	6574	212589
9	7257	210458
10	7932	208415
11	8604	206515
12	9274	204757
13	9994	204164
14	10689	203100
15	11386	202103
16	12059	200753
17	12709	199119
18	13359	197584
19	14033	196475
20	14697	195265
21	15363	194144
22	16042	193203
23	16684	191869
24	17328	190611
25	17998	189677
26	18665	188732
27	19329	187772
28	19968	186603
29	20610	185494
30	21263	184512
31	21906	183467
32	22568	182600
33	23213	181609
34	23851	180587
35	24529	179881
36	25178	178972
37	25829	178088
38	26469	177140
39	27118	176267
40	27767	175411
41	28409	174513
42	29078	173792
43	29727	172961
44	30366	172074
45	30996	171152
46	31631	170272
47	32263	169380
48	32895	168503
49	33522	167614
50	34157	166766
51	34797	165957
52	35434	165138
53	36070	164319
54	36711	163530
55	37359	162779
56	37999	161996
57	38619	161137
58	39241	160290
59	39872	159491
60	40496	158667
61	41121	157853
62	41744	157040
63	42380	156277
64	43033	155583
65	43681	154871
66	44328	154156
67	44972	153435
68	45653	152838
69	46296	152117
70	46955	151449
71	47653	150901
72	48373	150420
73	49041	149775
74	49726	149179
75	50408	148572
76	51062	147881
77	51756	147305
78	52455	146742
79	53205	146314
80	53855	145609
81	54561	145053
82	55398	144837
83	56215	144553
84	57128	144502
85	57850	143954
86	58487	143192
87	59146	142488
88	59822	141825
89	60493	141150
90	61157	140460
91	61865	139868
92	62547	139218
93	63233	138576
94	63909	137910
95	64617	137313
96	65311	136682
97	66001	136042
98	66676	135373
99	67375	134750
100	68166	134308
101	68854	133658
102	69556	133035
103	70227	132351
104	70988	131835
105	71787	131385
106	72533	130831
107	73263	130246
108	74060	129775
109	74839	129268
110	75714	128918
111	76516	128437
112	77231	127808
113	77996	127257
114	78735	126661
115	79501	126106
116	80169	125392
117	80863	124720
118	81537	124018
119	82249	123374
120	82966	122735
121	83611	121990
122	84320	121338
123	85023	120678
124	85683	119956
125	86360	119259
126	87020	118539
127	87678	117817
128	88353	117119
129	89038	116435
130	89717	115742
131	90362	115007
132	91035	114308
133	91718	113621
134	92375	112902
135	93120	112292
136	93795	111596
137	94466	110895
138	95119	110174
139	95795	109480
140	96487	108805
141	97143	108089
142	97824	107401
143	98482	106688
144	99175	106015
145	99887	105361
146	100581	104687
147	101249	103985
148	101903	103271
149	102574	102574
150	103252	101884
151	103900	101166
152	104552	100452
153	105304	99834
154	105991	99153
155	106662	98457
156	107324	97754
157	108004	97066
158	108720	96412
159	109427	95749
160	110141	95090
161	110880	94453
162	111586	93787
163	112391	93202
164	113170	92593
165	114024	92043
166	114842	91461
167	115632	90854
168	116374	90207
169	117112	89556
170	117837	88895
171	118551	88224
172	119260	87549
173	119972	86876
174	120689	86207
175	121414	85541
176	122125	84866
177	122830	84187
178	123555	83520
179	124271	82847
180	124988	82174
181	125711	81505
182	126402	80814
183	127088	80121
184	127813	79451
185	128513	78766
186	129236	78094
187	129950	77417
188	130676	76746
189	131392	76069
190	132094	75383
191	132801	74700
192	133513	74020
193	134219	73336
194	134932	72655
195	135649	71977
196	136377	71303
197	137073	70613
198	137793	69935
199	138507	69253
200	139233	68577
201	139945	67894
202	140687	67225
203	141403	66542
204	142116	65858
205	142843	65181
206	143563	64499
207	144271	63812
208	144998	63133
209	145707	62446
210	146410	61756
211	147094	61057
212	147783	60362
213	148480	59669
214	149183	58979
215	149876	58285
216	150513	57569
217	151152	56855
218	151786	56140
219	152435	55431
220	153120	54735
221	153790	54034
222	154436	53325
223	155109	52626
224	155884	51961
225	156573	51267
226	157238	50565
227	157871	49854
228	158497	49141
229	159125	48429
230	159771	47723
231	160408	47016
232	161048	46309
233	161677	45601
234	162305	44893
235	162943	44188
236	163581	43483
237	164222	42780
238	164862	42077
239	165519	41379
240	166174	40681
241	166818	39981
242	167538	39299
243	168260	38617
244	168980	37934
245	169694	37250
246	170381	36559
247	171075	35870
248	171765	35180
249	172500	34500
250	173153	33802
251	173798	33104
252	174484	32414
253	175130	31716
254	175795	31022
255	176462	30329
256	177088	29629
257	177772	28939
258	178436	28246
259	179112	27555
260	179830	26871
261	180559	26187
262	181246	25498
263	181949	24811
264	182627	24120
265	183282	23427
266	184011	22742
267	184726	22056
268	185387	21364
269	186097	20677
270	186765	19985
271	187443	19295
272	188128	18606
273	188794	17914
274	189498	17227
275	190152	16534
276	190848	15846
277	191544	15158
278	192226	14468
279	192908	13779
280	193591	13089
281	194280	12400
282	194972	11712
283	195662	11023
284	196375	10335
285	197101	9648
286	197801	8959
287	198468	8269
288	199197	7581
289	199890	6892
290	200566	6203
291	201291	5514
292	202012	4826
293	202742	4137
294	203468	3448
295	204150	2758
296	204907	2069
297	205572	1379
298	206268	689
299	206921	0
