model,price,other,mark,group
트랜센드 DDR4-3200 CL22,28.51,8.0,3200,ram
트랜센드 DDR4-3200 CL22,55.53,16.0,3200,ram
트랜센드 DDR4-3200 CL22,110.13,32.0,3200,ram
PATRIOT DDR4-3600 CL18 VIPER RGB 패키지,92.19,16.0,3600,ram
PATRIOT DDR4-3600 CL18 VIPER RGB 패키지,167.7,32.0,3600,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB 화이트 패키지,165.93,32.0,3200,ram
ADATA XPG DDR4-3200 CL16 SPECTRIX D50 RGB 화이트 패키지,87.13,16.0,3200,ram
삼성전자 DDR4-2933,115.35,32.0,2933,ram
삼성전자 DDR4-2933,36.11,8.0,2933,ram
삼성전자 DDR4-2933,60.16,16.0,2933,ram
TeamGroup T-Force DDR4-3200 CL14 XTREEM ARGB 패키지,187.67,16.0,3200,ram
TeamGroup T-Force DDR4-3200 CL14 XTREEM ARGB 패키지,276.84,32.0,3200,ram
PATRIOT DDR4-3200 CL16 VIPER RGB 패키지,84.83,16.0,3200,ram
PATRIOT DDR4-3200 CL16 VIPER RGB 패키지,140.99,32.0,3200,ram
TeamGroup T-Force DDR4-3600 CL14 XTREEM ARGB 패키지,222.72,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL14 XTREEM ARGB 패키지,302.57,32.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT XR,74.53,16.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT XR,40.82,8.0,3600,ram
PATRIOT DDR4-3600 CL18 VIPER STEEL,142.86,32.0,3600,ram
PATRIOT DDR4-3600 CL18 VIPER STEEL,74.45,16.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 CRAS XR RGB,52.44,8.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 CRAS XR RGB,95.92,16.0,3600,ram
ADATA DDR4-3200 CL22,29.62,8.0,3200,ram
ADATA DDR4-3200 CL22,65.31,16.0,3200,ram
ADATA DDR4-3200 CL22,147.83,32.0,3200,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT XR 패키지,191.66,32.0,3600,ram
ESSENCORE KLEVV DDR4-3600 CL18 BOLT XR 패키지,95.83,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 가넷,90.51,16.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 가넷,164.15,32.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 가넷,164.15,32.0,3600,ram
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 가넷,90.51,16.0,3600,ram
