model,mark,price,group,other
GeForce GTX 1650 SUPER,9834,159.99,gpu,
Radeon RX 590,9474,159.99,gpu,
Radeon RX 580,8750,149.99,gpu,
GeForce GTX 1650,7798,139.99,gpu,
GeForce GTX 1660,11540,209.99,gpu,
GeForce GTX 1660 SUPER,12689,239.99,gpu,
Radeon RX 5600 XT,13465,269.99,gpu,
Radeon RX 5500 XT,8945,179.99,gpu,
GeForce RTX 2060,14072,299.99,gpu,
Radeon,1969,41.99,gpu,
Radeon RX 5700,14475,309.99,gpu,
Radeon RX 570,6967,149.99,gpu,
Radeon RX 5700 XT,16687,359.99,gpu,
GeForce GTX 1660 Ti,12349,269.49,gpu,
GeForce GTX 1050 Ti,6389,139.99,gpu,
GeForce RTX 2060 SUPER,16353,414.98,gpu,
GeForce GTX 1080,14821,379.99,gpu,
GeForce RTX 2070,16196,419.99,gpu,
Radeon RX 550,2415,64.99,gpu,
GeForce RTX 2070 SUPER,18128,524.99,gpu,
GeForce GTX 1050,5427,159.45,gpu,
GeForce GT 1030,2620,79.99,gpu,
GeForce GTX 1070,13319,449.99,gpu,
Radeon RX 560,3642,129.99,gpu,
Quadro 6000,2787,99.99,gpu,
GeForce RTX 2080 SUPER,19336,719.99,gpu,
Radeon RX Vega 56,13335,519.99,gpu,
Quadro P2200,9118,378.66,gpu,
Radeon Pro W5500,9377,408.99,gpu,
Quadro P620,3679,167.25,gpu,
GeForce RTX 2080 Ti,21550,999.99,gpu,
Radeon Pro W5700,15031,799.99,gpu,
GeForce GT 710,638,35.99,gpu,
Radeon Pro WX 7100,7758,460.99,gpu,
Radeon Pro WX 5100,5328,334.99,gpu,
Quadro P4000,11678,789.99,gpu,
Radeon Pro WX 3200,2559,174.99,gpu,
Radeon Pro WX 8200,14137,969.99,gpu,
Radeon Pro WX 4100,3620,249.99,gpu,
Quadro P400,1662,117.99,gpu,
Quadro P1000,4362,329.99,gpu,
Quadro K6000,8502,677.93,gpu,
GeForce GT 730,794,65.7,gpu,
Radeon R7 430,1140,104.11,gpu,
Radeon VII,16899,1898.99,gpu,
TITAN RTX,19403,2499.0,gpu,
Quadro P5000,11542,1700.64,gpu,
Quadro K5200,5922,1659.87,gpu,
GeForce 8400 GS,121,43.03,gpu,
Radeon HD 5570,448,171.99,gpu,
Radeon RX 470,7919,99.99,gpu,
Radeon R9 380,6155,89.99,gpu,
GeForce GTX 950,5328,86.0,gpu,
GeForce GTX 780,7881,129.99,gpu,
GeForce GTX 770,5894,109.95,gpu,
GeForce GTX 960,5985,113.27,gpu,
Radeon HD 7850,3720,75.0,gpu,
GeForce GTX 980,11035,223.1,gpu,
GeForce GTX 970,9637,197.44,gpu,
Radeon HD 6970,2917,59.99,gpu,
Radeon R9 290 / 390,8150,179.32,gpu,
GeForce GTX 980 Ti,13745,309.2,gpu,
Radeon RX 480,8522,198.25,gpu,
Radeon HD 7970 / R9 280X,5247,125.99,gpu,
GeForce GTX 1060 3GB,9611,235.99,gpu,
GeForce GTX 780 Ti,9149,225.1,gpu,
Radeon R9 290X / 390X,8389,220.1,gpu,
GeForce GTX 560 Ti,3065,81.6,gpu,
Radeon RX Vega 64,14649,389.99,gpu,
Radeon R7 450,1918,52.49,gpu,
GeForce GTX 670,5321,149.0,gpu,
Quadro M1000M,3007,85.99,gpu,
Quadro M3000M,5423,159.95,gpu,
Radeon R9 270X,4837,149.99,gpu,
Radeon R7 260,2891,89.99,gpu,
Radeon HD 7870,4652,147.0,gpu,
GeForce GTX 660,3943,124.97,gpu,
GeForce GTX 1060,10209,325.88,gpu,
GeForce RTX 3090,24180,1599.99,gpu,
GeForce RTX 3080,23731,849.99,gpu,
Quadro RTX 8000,20024,4741.49,gpu,
Quadro RTX 6000,19784,6300.0,gpu,
TITAN V,19176,2149.99,gpu,
GeForce RTX 2080,18630,799.99,gpu,
NVIDIA TITAN Xp,18280,1398.68,gpu,
GeForce GTX 1080 Ti,17622,800.08,gpu,
Quadro RTX 4000,15006,899.0,gpu,
Quadro P6000,15005,2749.99,gpu,
Radeon Vega Frontier Edition,14072,890.0,gpu,
GeForce GTX 1070 Ti,14034,549.99,gpu,
NVIDIA TITAN X,13659,608.1,gpu,
Quadro GV100,12721,8999.0,gpu,
GeForce GTX TITAN X,12533,599.99,gpu,
Quadro M6000,12163,1054.03,gpu,
Radeon R9 Fury + Fury X,9741,374.1,gpu,
Radeon Pro Duo,9672,449.0,gpu,
Quadro M5000,9222,648.99,gpu,
GeForce GTX TITAN Black,9084,433.1,gpu,
GeForce GTX Titan,8736,310.0,gpu,
Radeon R9 295X2,8310,499.1,gpu,
GeForce GTX TITAN Z,8237,919.1,gpu,
FirePro W9100,7750,3593.1,gpu,
Quadro P2000,7234,464.9,gpu,
FirePro W8100,6985,1112.18,gpu,
Quadro M4000,6479,780.99,gpu,
Radeon R9 380X,6060,445.0,gpu,
FirePro W9000,5907,3443.99,gpu,
GeForce GTX 690,5796,264.1,gpu,
GeForce GTX 680,5582,179.99,gpu,
Radeon HD 7990,5565,990.44,gpu,
Radeon R9 285 / 380,5549,449.99,gpu,
GeForce GTX 760 Ti,5118,297.5,gpu,
FirePro W7100,4955,289.99,gpu,
Radeon HD 7950 / R9 280,4764,210.01,gpu,
GeForce GTX 760,4751,160.32,gpu,
GeForce GTX 580,4511,145.32,gpu,
GeForce GTX 660 Ti,4355,486.68,gpu,
Radeon R9 270 / R7 370,4259,164.47,gpu,
Quadro K4200,4239,239.99,gpu,
FirePro W7000,4079,146.02,gpu,
Radeon RX 460,4052,274.1,gpu,
Quadro M2000,4016,298.99,gpu,
GeForce GTX 480,3995,579.0,gpu,
GeForce GTX 750 Ti,3930,155.32,gpu,
Quadro K5000,3922,384.98,gpu,
GeForce GTX 570,3856,298.68,gpu,
Quadro K2200,3570,123.18,gpu,
FirePro W8000,3453,1048.99,gpu,
Quadro P600,3443,241.04,gpu,
GeForce GTX 750,3419,129.99,gpu,
GeForce GTX 590,3339,184.0,gpu,
GeForce GTX 470,3216,522.01,gpu,
GRID K520,3177,749.95,gpu,
GRID K2,3176,4188.39,gpu,
Quadro K5000M,3132,389.25,gpu,
Radeon R7 360,3095,125.0,gpu,
Radeon HD 7790,3090,180.32,gpu,
Radeon R7 260X,3064,132.28,gpu,
Radeon R9 360,3031,519.0,gpu,
FirePro W5000,2997,169.89,gpu,
Radeon HD 6990,2932,159.99,gpu,
FirePro W5100,2912,279.13,gpu,
Quadro K5100M,2870,285.99,gpu,
Quadro K1200,2860,190.89,gpu,
GeForce GTX 465,2825,263.28,gpu,
FirePro 3D V9800,2811,2499.0,gpu,
FirePro W4300,2734,239.99,gpu,
Radeon HD 6950,2729,148.32,gpu,
GeForce GTX 560,2709,294.48,gpu,
Quadro K4000,2682,175.99,gpu,
GeForce GTX 650 Ti,2555,184.32,gpu,
FirePro 3D V8800,2437,424.99,gpu,
Quadro K4100M,2394,198.02,gpu,
Radeon HD 5970,2302,329.99,gpu,
GeForce GTX 460,2292,169.71,gpu,
Quadro K3100M,2284,399.95,gpu,
Quadro K620,2273,138.83,gpu,
Radeon R7 250X,2268,260.7,gpu,
Radeon HD 5870,2239,289.0,gpu,
FirePro V7900,2227,144.04,gpu,
Radeon HD 6870,2211,150.0,gpu,
GeForce GTX 745,2204,124.04,gpu,
Radeon HD 7770,2156,145.32,gpu,
Quadro K4000M,2108,599.99,gpu,
Radeon R9 350,2062,103.85,gpu,
GeForce GTX 460 v2,2011,199.99,gpu,
Radeon HD 6850,2010,165.32,gpu,
Quadro 5010M,2000,235.95,gpu,
Quadro 5000,1996,2314.99,gpu,
Radeon HD 5850,1973,79.99,gpu,
GeForce GTX 460 SE,1943,159.99,gpu,
GeForce GTX 560 SE,1879,89.99,gpu,
FirePro 3D V7800,1867,599.99,gpu,
GeForce GTX 650,1761,89.35,gpu,
Radeon HD 5830,1746,159.99,gpu,
FirePro W600,1725,400.99,gpu,
Radeon HD 6790,1721,64.99,gpu,
Radeon HD 7750,1668,144.99,gpu,
Quadro K3000M,1657,155.0,gpu,
Quadro K2000D,1649,416.51,gpu,
Quadro K2000,1582,120.0,gpu,
Radeon Vega 8,1572,126.86,gpu,
GeForce GTX 550 Ti,1564,131.28,gpu,
GeForce GTX 285,1555,179.99,gpu,
GeForce GT 740,1544,154.32,gpu,
FirePro W4100,1508,149.86,gpu,
Radeon HD 4890,1499,109.99,gpu,
Quadro 4000,1497,900.99,gpu,
