model,mark,price,other,group
Samsung SSD 980 PRO 500GB,32772,149.99,512,hard-drive
Samsung SSD 980 PRO 1TB,32663,229.99,1024,hard-drive
GIGABYTE GP-AG41TB,32520,188.73,1024,hard-drive
Seagate FireCuda 520 SSD ZP1000GM30002,31952,223.15,1024,hard-drive
CFD NVMe Gen 4 M.2 1TB CSSD-M2B1TPG3VNF,31707,330.91,1024,hard-drive
NVMe Force MP600,31325,227.46,1024,hard-drive
Gigabyte AORUS NVMe Gen4 M.2 1TB,31232,159.99,1024,hard-drive
Seagate FireCuda 520 SSD ZP2000GM30002,31135,456.07,2048,hard-drive
Corsair Force MP600 1TB,31061,179.99,1024,hard-drive
Viper M.2 VP4100,30997,204.99,1024,hard-drive
Sabrent ROCKET 4.0 1TB,30611,304.09,1024,hard-drive
Sabrent Rocket 4.0 2TB,30565,460.33,2048,hard-drive
Corsair Force MP600 2TB,30456,359.99,2048,hard-drive
Gigabyte AORUS NVMe Gen4 M.2 2TB,29467,359.99,2048,hard-drive
XPG GAMMIX S50,29184,194.99,1024,hard-drive
Viper M.2 VPN100 1TB,28946,149.99,1024,hard-drive
DIGISTOR 1TB,28260,549.6,1024,hard-drive
NVMe Sabrent Rocket 4,28057,175.68,1024,hard-drive
Viper M.2 VP4100,28056,233.36,2048,hard-drive
RevuAhn NX2200A 1TB,27800,185.44,1024,hard-drive
APS-SE20G-1T,27238,193.87,1024,hard-drive
Samsung SSD 970 EVO Plus 1TB,27078,170.36,1024,hard-drive
RevuAhn NX2200 1TB,27077,194.32,1024,hard-drive
Micron 2300 NVMe 1024GB,26738,133.09,1024,hard-drive
PM981a NVMe SED Samsung 512GB,26576,75.68,512,hard-drive
addlink M.2 PCIE G3x4 NVMe,26553,310.73,2048,hard-drive
Intel Optane 905P 480GB,26434,588.64,512,hard-drive
Samsung SSD 980 PRO 250GB,26395,105.58,256,hard-drive
PNY CS3030 2TB SSD,26242,239.99,2048,hard-drive
Force MP600,25900,99.99,512,hard-drive
PC SN720 NVMe WDC 1024GB,25847,53.23,1024,hard-drive
PM981a NVMe SAMSUNG 2048GB,25587,305.88,2048,hard-drive
Seagate BarraCuda 510 SSD ZP1000CM30001,25319,146.99,1024,hard-drive
Sabrent Rocket Q4,25317,1534.96,4096,hard-drive
Samsung SSD 970 EVO Plus 2TB,25139,492.0,2048,hard-drive
imation M.2 PCIe 1TB SSD X931,25109,150.75,1024,hard-drive
PM981a NVMe Samsung 1024GB,24920,137.53,1024,hard-drive
Sabrent Rocket 4.0 500GB,24909,175.68,512,hard-drive
WD Black SN750 NVMe 1TB,24671,149.99,1024,hard-drive
Seagate FireCuda 520 SSD ZP500GM30002,24623,119.78,512,hard-drive
Samsung SSD 970 EVO Plus 1TB,24244,217.99,1024,hard-drive
CT1000P5SSD8,24201,137.99,1024,hard-drive
Seagate FireCuda 510 SSD ZP1000GM30001,24120,211.18,1024,hard-drive
Corsair Force MP510 1920GB,23986,359.99,2048,hard-drive
Intel Optane 905P 960GB,23947,1275.0,1024,hard-drive
Samsung PM981 1TB NVMe SED,23867,137.53,1024,hard-drive
Intel Optane 900P 480GB,23706,620.03,512,hard-drive
CT500P5SSD8,23651,79.95,512,hard-drive
Viper M.2 VPN100 2TB,23607,274.99,2048,hard-drive
TEAM TM8FP4001T,23521,142.32,1024,hard-drive
Samsung SSD 970 PRO 1TB,23412,349.99,1024,hard-drive
WD Black NVMe 1TB,23371,129.99,1024,hard-drive
PNY CS3030 1TB SSD,23339,124.99,1024,hard-drive
PNY XLR8 CS3030 M.2 NVMe,23330,171.25,1024,hard-drive
Intel Optane 900P 280GB,23252,401.26,512,hard-drive
Apacer AS2280P4 480GB,22743,100.0,512,hard-drive
WDS200T3X0C-00SJG0,22634,439.21,2048,hard-drive
GIGABYTE GP-ASM2NE6500GTTD,22593,109.99,512,hard-drive
APS-SE20G-2T,22523,393.93,2048,hard-drive
Seagate FireCuda 510 SSD ZP2000GM30001,22428,415.26,2048,hard-drive
