model,mark,price,group
AMD Ryzen Threadripper 3990X,80340,3799.79,cpu
AMD Ryzen Threadripper 3970X,64362,1998.99,cpu
AMD Ryzen Threadripper 3960X,55512,1349.98,cpu
AMD Ryzen 9 3950X,39277,709.99,cpu
Intel Core i9-10980XE @ 3.00GHz,34138,1019.0,cpu
AMD Ryzen 9 3900XT,33185,454.99,cpu
AMD Ryzen 9 3900X,32865,439.99,cpu
AMD Ryzen Threadripper 2990WX,32108,1449.99,cpu
Intel Xeon W-3175X @ 3.10GHz,31814,3098.97,cpu
Intel Core i9-9980XE @ 3.00GHz,31556,1249.99,cpu
AMD Ryzen Threadripper 2950X,30792,589.99,cpu
Intel Core i9-9960X @ 3.10GHz,30663,1699.99,cpu
Intel Core i9-10940X @ 3.30GHz,29797,829.9,cpu
Intel Core i9-9940X @ 3.30GHz,28208,772.88,cpu
AMD Ryzen Threadripper 2970WX,28071,1156.4,cpu
Intel Core i9-10920X @ 3.50GHz,26369,679.0,cpu
AMD Ryzen Threadripper 2920X,25650,709.99,cpu
Intel Core i9-9920X @ 3.50GHz,25344,642.16,cpu
Intel Core i9-10900K @ 3.70GHz,24261,549.99,cpu
AMD Ryzen 7 3800XT,24216,379.0,cpu
Intel Core i9-10900KF @ 3.70GHz,23630,619.99,cpu
AMD Ryzen 7 3800X,23346,339.99,cpu
Intel Core i9-10850K @ 3.60GHz,23094,479.99,cpu
Intel Core i9-10900X @ 3.70GHz,22919,589.0,cpu
Intel Xeon W-2255 @ 3.70GHz,22841,778.0,cpu
AMD Ryzen 5 5600X,22824,299.0,cpu
AMD Ryzen 7 3700X,22815,309.99,cpu
Intel Core i9-9900X @ 3.50GHz,21908,601.73,cpu
AMD Ryzen 7 PRO 3700,21755,279.99,cpu
Intel Core i9-10900 @ 2.80GHz,21380,469.0,cpu
Intel Core i9-10900F @ 2.80GHz,21325,483.99,cpu
AMD Ryzen 7 PRO 4750G,21160,289.0,cpu
Intel Core i9-9820X @ 3.30GHz,20507,536.0,cpu
Intel Core i7-10700K @ 3.80GHz,19671,377.77,cpu
Intel Core i7-10700KF @ 3.80GHz,19596,409.99,cpu
Intel Core i9-9900KS @ 4.00GHz,19484,1965.0,cpu
AMD Ryzen 5 3600XT,19016,239.99,cpu
Intel Core i9-9900KF @ 3.60GHz,18885,379.99,cpu
Intel Core i9-9900K @ 3.60GHz,18867,409.99,cpu
AMD Ryzen 5 3600X,18316,234.99,cpu
Intel Core i7-9800X @ 3.80GHz,18252,396.0,cpu
AMD Ryzen 5 3600,17857,199.99,cpu
AMD Ryzen 7 2700X,17581,214.39,cpu
Intel Core i7-10700 @ 2.90GHz,17497,319.99,cpu
Intel Core i7-10700F @ 2.90GHz,17426,429.99,cpu
Intel Core i9-9900 @ 3.10GHz,17195,414.99,cpu
Intel Core i9-10900T @ 1.90GHz,16991,439.0,cpu
AMD Ryzen 7 2700,15721,362.84,cpu
Intel Core i5-10600KF @ 4.10GHz,14867,244.99,cpu
Intel Core i7-8086K @ 4.00GHz,14734,691.76,cpu
Intel Core i7-9700KF @ 3.60GHz,14716,319.0,cpu
Intel Core i5-10600K @ 4.10GHz,14636,274.99,cpu
Intel Core i7-9700K @ 3.60GHz,14615,279.99,cpu
AMD Ryzen 5 2600X,14094,166.99,cpu
Intel Core i5-10600 @ 3.30GHz,14074,224.0,cpu
Intel Core i7-9700F @ 3.00GHz,13800,259.98,cpu
Intel Core i9-9900T @ 2.10GHz,13664,439.0,cpu
Intel Core i7-9700 @ 3.00GHz,13602,292.67,cpu
Intel Core i7-10700T @ 2.00GHz,13374,323.0,cpu
Intel Core i5-10500 @ 3.10GHz,13318,239.95,cpu
AMD Ryzen 5 2600,13227,139.99,cpu
AMD Ryzen 3 3300X,12797,261.16,cpu
Intel Core i5-10400F @ 2.90GHz,12740,187.99,cpu
Intel Core i5-10400 @ 2.90GHz,12637,179.99,cpu
AMD Ryzen 3 3100,11764,119.99,cpu
Intel Core i5-10600T @ 2.40GHz,11330,213.0,cpu
Intel Core i5-9600KF @ 3.70GHz,10901,205.99,cpu
Intel Core i7-9700T @ 2.00GHz,10885,323.0,cpu
Intel Core i5-9600K @ 3.70GHz,10874,199.94,cpu
Intel Core i7-8700T @ 2.40GHz,10825,309.29,cpu
Intel Core i5-10500T @ 2.30GHz,10790,192.0,cpu
Intel Core i5-9600 @ 3.10GHz,10741,237.98,cpu
Intel Core i7-9700TE @ 1.80GHz,10680,323.0,cpu
Intel Core i5-10400T @ 2.00GHz,10429,182.0,cpu
Intel Core i5-9500F @ 3.00GHz,10284,221.93,cpu
Intel Core i5-9500 @ 3.00GHz,9944,204.98,cpu
Intel Core i5-8600 @ 3.10GHz,9795,237.95,cpu
Intel Core i5-9400F @ 2.90GHz,9594,139.99,cpu
Intel Core i5-9400 @ 2.90GHz,9559,163.65,cpu
Intel Core i5-8500 @ 3.00GHz,9484,262.36,cpu
AMD Ryzen 5 3400G,9425,144.99,cpu
Intel Core i5-9600T @ 2.30GHz,9406,213.0,cpu
Intel Core i3-10300 @ 3.70GHz,9322,179.08,cpu
Intel Core i7-9850HL @ 1.90GHz,9112,395.0,cpu
Intel Core i5-8600T @ 2.30GHz,8946,366.99,cpu
Intel Core i3-10100 @ 3.60GHz,8928,114.95,cpu
Intel Core i5-10300H @ 2.50GHz,8876,250.0,cpu
AMD Ryzen 5 2400G,8762,267.0,cpu
Intel Core i3-10300T @ 3.00GHz,8355,143.0,cpu
Intel Core i5-9500T @ 2.20GHz,8148,192.0,cpu
Intel Core i3-9350KF @ 4.00GHz,7913,164.61,cpu
Intel Core i5-8500T @ 2.10GHz,7899,217.58,cpu
AMD Ryzen 3 2300X,7863,178.09,cpu
Intel Core i5-9400T @ 1.80GHz,7815,182.0,cpu
Intel Core i3-9350K @ 4.00GHz,7797,184.0,cpu
Intel Core i3-9320 @ 3.70GHz,7358,162.0,cpu
Intel Core i5-8400T @ 1.70GHz,7356,188.58,cpu
Intel Core i3-9300 @ 3.70GHz,7267,189.99,cpu
AMD Ryzen 3 3200G,7249,99.99,cpu
Intel Core i3-9100F @ 3.60GHz,6825,87.6,cpu
AMD Ryzen 3 2200G,6747,210.02,cpu
Intel Core i3-9100 @ 3.60GHz,6727,116.99,cpu
Intel Core i3-9300T @ 3.20GHz,6367,143.0,cpu
Intel Core i3-8300 @ 3.70GHz,6317,151.15,cpu
Intel Core i3-8300T @ 3.20GHz,5827,155.2,cpu
Intel Core i3-9100T @ 3.10GHz,5574,122.0,cpu
Intel Core i5-4670R @ 3.00GHz,5335,276.0,cpu
Intel Core i3-8100T @ 3.10GHz,5299,129.0,cpu
AMD Athlon 240GE,4604,132.9,cpu
AMD Athlon 3000G,4466,54.99,cpu
Intel Pentium Gold G6400 @ 4.00GHz,4243,64.99,cpu
AMD Athlon 200GE,4213,77.86,cpu
Intel Pentium Gold G6500 @ 4.10GHz,4208,75.0,cpu
Intel Pentium Gold G5620 @ 4.00GHz,4102,197.12,cpu
Intel Pentium Gold G5400 @ 3.70GHz,3722,69.99,cpu
Intel Pentium Gold G5420T @ 3.20GHz,3716,64.0,cpu
Intel Pentium Gold G5500 @ 3.80GHz,3680,94.99,cpu
Intel Pentium Gold G5600 @ 3.90GHz,3641,142.93,cpu
Intel Pentium Gold G5420 @ 3.80GHz,3446,64.15,cpu
Intel Pentium Gold G5500T @ 3.20GHz,3234,75.0,cpu
Intel Core i3-4370T @ 3.30GHz,3225,138.0,cpu
Intel Pentium Silver J5005 @ 1.50GHz,3206,195.99,cpu
AMD A10-9700E,3151,241.0,cpu
Intel Celeron J4105 @ 1.50GHz,2972,107.0,cpu
Intel Celeron G5905 @ 3.50GHz,2862,49.94,cpu
Intel Celeron G5900 @ 3.40GHz,2759,54.99,cpu
Intel Celeron G4930 @ 3.20GHz,2562,40.09,cpu
Intel Celeron G4900 @ 3.10GHz,2408,160.54,cpu
Intel Celeron G4920 @ 3.20GHz,2284,60.93,cpu
Intel Celeron G4900T @ 2.90GHz,2255,42.0,cpu
Intel Celeron G4930T @ 3.00GHz,2224,42.0,cpu
Intel Celeron G3930TE @ 2.70GHz,2218,42.0,cpu
Intel Celeron G3930T @ 2.70GHz,2109,39.95,cpu
AMD A6-7480,1859,43.99,cpu
AMD A6-9500E,1841,98.1,cpu
Intel Celeron J4005 @ 2.00GHz,1658,128.97,cpu
AMD Sempron 240,1278,38.0,cpu
