model,mark,price,group
Samsung SSD 980 PRO 500GB,"32,772",149.99,hard-drive
Samsung SSD 980 PRO 1TB,"32,663",229.99,hard-drive
GIGABYTE GP-AG41TB,"32,520",188.73,hard-drive
Seagate FireCuda 520 SSD ZP1000GM30002,"31,952",223.15,hard-drive
CFD NVMe Gen 4 M.2 1TB CSSD-M2B1TPG3VNF,"31,707",330.91,hard-drive
NVMe Force MP600,"31,325",227.46,hard-drive
Gigabyte AORUS NVMe Gen4 M.2 1TB,"31,232",159.99,hard-drive
Seagate FireCuda 520 SSD ZP2000GM30002,"31,135",456.07,hard-drive
Corsair Force MP600 1TB,"31,061",179.99,hard-drive
Viper M.2 VP4100,"30,997",204.99,hard-drive
Sabrent ROCKET 4.0 1TB,"30,611",304.09,hard-drive
Sabrent Rocket 4.0 2TB,"30,565",460.33,hard-drive
Corsair Force MP600 2TB,"30,456",359.99,hard-drive
Gigabyte AORUS NVMe Gen4 M.2 2TB,"29,467",359.99,hard-drive
XPG GAMMIX S50,"29,184",194.99,hard-drive
Viper M.2 VPN100 1TB,"28,946",149.99,hard-drive
DIGISTOR 1TB,"28,260",549.60,hard-drive
NVMe Sabrent Rocket 4,"28,057",175.68,hard-drive
Viper M.2 VP4100,"28,056",233.36,hard-drive
RevuAhn NX2200A 1TB,"27,800",185.44,hard-drive
APS-SE20G-1T,"27,238",193.87,hard-drive
Samsung SSD 970 EVO Plus 1TB,"27,078",170.36,hard-drive
RevuAhn NX2200 1TB,"27,077",194.32,hard-drive
Micron 2300 NVMe 1024GB,"26,738",133.09,hard-drive
PM981a NVMe SED Samsung 512GB,"26,576",75.68,hard-drive
addlink M.2 PCIE G3x4 NVMe,"26,553",310.73,hard-drive
Intel Optane 905P 480GB,"26,434",588.64,hard-drive
Samsung SSD 980 PRO 250GB,"26,395",105.58,hard-drive
PNY CS3030 2TB SSD,"26,242",239.99,hard-drive
Force MP600,"25,900",99.99,hard-drive
PC SN720 NVMe WDC 1024GB,"25,847",53.23,hard-drive
PM981a NVMe SAMSUNG 2048GB,"25,587",305.88,hard-drive
Seagate BarraCuda 510 SSD ZP1000CM30001,"25,319",146.99,hard-drive
Sabrent Rocket Q4,"25,317",1534.96,hard-drive
Samsung SSD 970 EVO Plus 2TB,"25,139",492.00,hard-drive
imation M.2 PCIe 1TB SSD X931,"25,109",150.75,hard-drive
PM981a NVMe Samsung 1024GB,"24,920",137.53,hard-drive
Sabrent Rocket 4.0 500GB,"24,909",175.68,hard-drive
WD Black SN750 NVMe 1TB,"24,671",149.99,hard-drive
Seagate FireCuda 520 SSD ZP500GM30002,"24,623",119.78,hard-drive
Samsung SSD 970 EVO Plus 1TB,"24,244",217.99,hard-drive
CT1000P5SSD8,"24,201",137.99,hard-drive
Seagate FireCuda 510 SSD ZP1000GM30001,"24,120",211.18,hard-drive
Corsair Force MP510 1920GB,"23,986",359.99,hard-drive
Intel Optane 905P 960GB,"23,947","1,275.00",hard-drive
Samsung PM981 1TB NVMe SED,"23,867",137.53,hard-drive
Intel Optane 900P 480GB,"23,706",620.03,hard-drive
CT500P5SSD8,"23,651",79.95,hard-drive
Viper M.2 VPN100 2TB,"23,607",274.99,hard-drive
TEAM TM8FP4001T,"23,521",142.32,hard-drive
Samsung SSD 970 PRO 1TB,"23,412",349.99,hard-drive
WD Black NVMe 1TB,"23,371",129.99,hard-drive
PNY CS3030 1TB SSD,"23,339",124.99,hard-drive
PNY XLR8 CS3030 M.2 NVMe,"23,330",171.25,hard-drive
Intel Optane 900P 280GB,"23,252",401.26,hard-drive
Apacer AS2280P4 480GB,"22,743",100,hard-drive
WDS200T3X0C-00SJG0,"22,634",439.21,hard-drive
GIGABYTE GP-ASM2NE6500GTTD,"22,593",109.99,hard-drive
APS-SE20G-2T,"22,523",393.93,hard-drive
Seagate FireCuda 510 SSD ZP2000GM30001,"22,428",415.26,hard-drive
