name,drive_rating,price,link,size
Samsung SSD 980 PRO 500GB,"32,772",149.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20PRO%20500GB&id=26894,465.8
Samsung SSD 980 PRO 1TB,"32,663",229.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20PRO%201TB&id=26857,931.5
GIGABYTE GP-AG41TB,"32,520",188.73,https://www.harddrivebenchmark.net/hdd.php?hdd=GIGABYTE%20GP-AG41TB&id=26710,931.5
Seagate FireCuda 520 SSD ZP1000GM30002,"31,952",223.15,https://www.harddrivebenchmark.net/hdd.php?hdd=Seagate%20FireCuda%20520%20SSD%20ZP1000GM30002&id=25135,931.5
CFD NVMe Gen 4 M.2 1TB CSSD-M2B1TPG3VNF,"31,707",330.91,https://www.harddrivebenchmark.net/hdd.php?hdd=CFD%20NVMe%20Gen%204%20M.2%201TB%20CSSD-M2B1TPG3VNF&id=23933,931.5
NVMe Force MP600,"31,325",227.46,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20Force%20MP600&id=24038,931.5
Gigabyte AORUS NVMe Gen4 M.2 1TB,"31,232",159.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20NVMe%20Gen4%20M.2%201TB&id=23948,931.5
Seagate FireCuda 520 SSD ZP2000GM30002,"31,135",456.07,https://www.harddrivebenchmark.net/hdd.php?hdd=Seagate%20FireCuda%20520%20SSD%20ZP2000GM30002&id=25186,1800
Corsair Force MP600 1TB,"31,061",179.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP600%201TB&id=23935,931.5
Viper M.2 VP4100,"30,997",204.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VP4100&id=24988,931.5
Sabrent ROCKET 4.0 1TB,"30,611",304.09,https://www.harddrivebenchmark.net/hdd.php?hdd=Sabrent%20ROCKET%204.0%201TB&id=24043,931.5
Sabrent Rocket 4.0 2TB,"30,565",460.33,https://www.harddrivebenchmark.net/hdd.php?hdd=Sabrent%20Rocket%204.0%202TB&id=24124,1800
Corsair Force MP600 2TB,"30,456",359.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Corsair%20Force%20MP600%202TB&id=23902,1800
Gigabyte AORUS NVMe Gen4 M.2 2TB,"29,467",359.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Gigabyte%20AORUS%20NVMe%20Gen4%20M.2%202TB&id=23959,1800
XPG GAMMIX S50,"29,184",194.99,https://www.harddrivebenchmark.net/hdd.php?hdd=XPG%20GAMMIX%20S50&id=24833,931.5
Viper M.2 VPN100 1TB,"28,946",149.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VPN100%201TB&id=23457,953.9
DIGISTOR 1TB,"28,260",549.60,https://www.harddrivebenchmark.net/hdd.php?hdd=DIGISTOR%201TB&id=25619,953.9
NVMe Sabrent Rocket 4,"28,057",175.68,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20Sabrent%20Rocket%204&id=25498,931.5
Viper M.2 VP4100,"28,056",233.36,https://www.harddrivebenchmark.net/hdd.php?hdd=Viper%20M.2%20VP4100&id=25484,1800
RevuAhn NX2200A 1TB,"27,800",185.44,https://www.harddrivebenchmark.net/hdd.php?hdd=RevuAhn%20NX2200A%201TB&id=25538,953.9
APS-SE20G-1T,"27,238",193.87,https://www.harddrivebenchmark.net/hdd.php?hdd=APS-SE20G-1T&id=24131,953.9
Samsung SSD 970 EVO Plus 1TB,"27,078",170.36,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20970%20EVO%20Plus%201TB&id=25665,1000
RevuAhn NX2200 1TB,"27,077",194.32,https://www.harddrivebenchmark.net/hdd.php?hdd=RevuAhn%20NX2200%201TB&id=24437,953.9
NVMe Sabrent,"26,928",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=NVMe%20Sabrent&id=24173,1800
Micron 2300 NVMe 1024GB,"26,738",133.09,https://www.harddrivebenchmark.net/hdd.php?hdd=Micron%202300%20NVMe%201024GB&id=26642,953.9
PM981a NVMe SED Samsung 512GB,"26,576",75.68,https://www.harddrivebenchmark.net/hdd.php?hdd=PM981a%20NVMe%20SED%20Samsung%20512GB&id=24991,476.9
addlink M.2 PCIE G3x4 NVMe,"26,553",310.73,https://www.harddrivebenchmark.net/hdd.php?hdd=addlink%20M.2%20PCIE%20G3x4%20NVMe&id=24132,1800
Intel Optane 905P 480GB,"26,434",588.64,https://www.harddrivebenchmark.net/hdd.php?hdd=Intel%20Optane%20905P%20480GB&id=16001,447.1
Samsung SSD 980 PRO 250GB,"26,395",105.58,https://www.harddrivebenchmark.net/hdd.php?hdd=Samsung%20SSD%20980%20PRO%20250GB&id=26940,232.9
SAMSUNG MZVLB1T0HBLR-00000,"26,367",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20MZVLB1T0HBLR-00000&id=25307,953.9
PNY CS3030 2TB SSD,"26,242",239.99,https://www.harddrivebenchmark.net/hdd.php?hdd=PNY%20CS3030%202TB%20SSD&id=24973,1800
Force MP600,"25,900",99.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Force%20MP600&id=24464,465.8
PC SN720 NVMe WDC 1024GB,"25,847",53.23,https://www.harddrivebenchmark.net/hdd.php?hdd=PC%20SN720%20NVMe%20WDC%201024GB&id=24276,953.9
Apacer SM210 M280 512GB,"25,747",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=Apacer%20SM210%20M280%20512GB&id=16537,476.9
KXG60PNV2T04 NVMe KIOXIA 2048GB,"25,738",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60PNV2T04%20NVMe%20KIOXIA%202048GB&id=26204,1900
SAMSUNG MZVLB1T0HBLR-00A00,"25,717",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20MZVLB1T0HBLR-00A00&id=26128,953.9
SAMSUNG MZVLB512HBJQ-000,"25,679",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20MZVLB512HBJQ-000&id=25415,476.9
PM981a NVMe SAMSUNG 2048GB,"25,587",305.88,https://www.harddrivebenchmark.net/hdd.php?hdd=PM981a%20NVMe%20SAMSUNG%202048GB&id=24704,1900
SAMSUNG MZVLB1T0HBLR-000L7,"25,492",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20MZVLB1T0HBLR-000L7&id=23973,953.9
SAMSUNG MZVLB512HBJQ-00000,"25,431",NA,https://www.harddrivebenchmark.net/hdd.php?hdd=SAMSUNG%20MZVLB512HBJQ-00000&id=24411,476.9
